Company,Symbol,Movement,Cluster
MSI,Motorola Solutions,33.750152587890625,1
NRG,NRG Energy,22.660037994384766,0
NVR,NVR,1.1550326347351074,0
NXPI,NXP,29.610153198242188,1
NDAQ,Nasdaq,246.26515197753906,2
NTAP,NetApp,27.219886779785156,1
NFLX,Netflix,16.14004135131836,4
NWL,Newell Brands,270.7200622558594,2
NEM,Newmont,-0.7650003433227539,4
NWSA,News Corp (Class A),2.5674476623535156,1
NWS,News Corp (Class B),-4.615008354187012,4
NEE,NextEra Energy,-3.0999956130981445,4
NI,NiSource,4.154972076416016,3
NLSN,Nielsen Holdings,-5.220020294189453,4
NKE,Nike,-3.119922637939453,1
NSC,Norfolk Southern,-0.2300262451171875,3
NTRS,Northern Trust,2.3499679565429688,4
NOC,Northrop Grumman,10.290122985839844,0
NLOK,NortonLifeLock,-22.349822998046875,3
NCLH,Norwegian Cruise Line Holdings,7.695013999938965,1
NUE,Nucor,-39.139976024627686,0
NVDA,Nvidia,-5.405000686645508,4
ORLY,O'Reilly Automotive,15.9100341796875,0
OXY,Occidental Petroleum,62.17267608642578,2
ODFL,Old Dominion Freight Line,653.396240234375,4
OMC,Omnicom Group,-57.15497589111328,2
OKE,Oneok,150.06051635742188,1
ORCL,Oracle,-19.53998565673828,0
OGN,Organon & Co.,112.34333038330078,1
OTIS,Otis Worldwide,-26.19003677368164,4
PNC,PNC Financial Services,-25.939953804016113,0
PPG,PPG Industries,45.080055236816406,1
PPL,PPL,5.834997177124023,1
PTC,PTC,23.31108856201172,4
PVH,PVH,-4.959972381591797,4
PCAR,Paccar,1.8100357055664062,4
PKG,Packaging Corporation of America,-66.030029296875,0
PH,Parker-Hannifin,31.43996810913086,1
PYPL,PayPal,150.65919494628906,2
PAYX,Paychex,-46.75690460205078,2
PAYC,Paycom,-46.41002941131592,2
PENN,Penn National Gaming,4.779947280883789,4
PNR,Pentair,-5.041802406311035,0
PBCT,People's United Financial,10.420120239257812,3
PEP,PepsiCo,21.719993591308594,2
PKI,PerkinElmer,-16.614830017089844,1
PFE,Pfizer,29.884899139404297,4
PM,Philip Morris International,-55.98993682861328,0
PSX,Phillips 66,-16.779949188232422,3
PNW,Pinnacle West Capital,24.795032501220703,0
PXD,Pioneer Natural Resources,38.01990509033203,0
POOL,Pool Corporation,141.7901153564453,1
PFG,Principal Financial Group,-2.5600738525390625,4
PG,Procter & Gamble,-5.775014877319336,3
PGR,Progressive Corporation,4.160001754760742,0
PLD,Prologis,35.478057861328125,3
PRU,Prudential Financial,52.01001739501953,3
PEG,Public Service Enterprise Group,22.79991912841797,3
PSA,Public Storage,-3.670001983642578,0
PHM,PulteGroup,-19.619876861572266,2
QRVO,Qorvo,-0.6350021362304688,3
QCOM,Qualcomm,48.40013122558594,3
PWR,Quanta Services,-6.470037460327148,4
DGX,Quest Diagnostics,-44.9599552154541,0
RL,Ralph Lauren Corporation,-75.01699829101562,2
RJF,Raymond James Financial,22.429920196533203,0
RTX,Raytheon Technologies,-50.51998519897461,2
O,Realty Income Corporation,-16.524856567382812,1
REG,Regency Centers,-32.999908447265625,0
REGN,Regeneron Pharmaceuticals,26.712356567382812,4
RF,Regions Financial Corporation,-9.082969665527344,0
RSG,Republic Services,-32.1300163269043,4
RMD,ResMed,-15.595020294189453,4
RHI,Robert Half International,-145.6497802734375,1
ROK,Rockwell Automation,1.9300012588500977,0
ROL,Rollins,12.869956970214844,3
ROP,Roper Technologies,85.30998229980469,1
ROST,Ross Stores,20.590087890625,0
RCL,Royal Caribbean Group,57.160057067871094,4
SPGI,S&P Global,0.1133575439453125,1
SBAC,SBA Communications,-8.859573364257812,1
SIVB,SVB Financial,-22.659954071044922,0
CRM,Salesforce,-58.40496063232422,0
SLB,Schlumberger,6.8099212646484375,1
STX,Seagate Technology,1.3000259399414062,2
SEE,Sealed Air,12.5302734375,3
SRE,Sempra Energy,-6.270023345947266,0
NOW,ServiceNow,26.639965057373047,4
SHW,Sherwin-Williams,-2.110004425048828,4
SPG,Simon Property Group,-32.32007598876953,3
SWKS,Skyworks Solutions,92.00967407226562,2
SNA,Snap-on,68.92166137695312,1
SO,Southern Company,-57.155094146728516,0
LUV,Southwest Airlines,-38.66014099121094,2
SWK,Stanley Black & Decker,-43.57975769042969,4
SBUX,Starbucks,6.129955291748047,3
STT,State Street Corporation,-40.1500358581543,0
STE,Steris,-33.23998260498047,4
SYK,Stryker Corporation,3.4999351501464844,1
SYF,Synchrony Financial,8.149925231933594,0
SNPS,Synopsys,25.370040893554688,1
SYY,Sysco,-38.56010437011719,1
TMUS,T-Mobile US,255.68038940429688,0
TROW,T. Rowe Price,-0.8200130462646484,0
TEL,TE Connectivity,69.98009490966797,2
TJX,TJX Companies,-19.5000057220459,0
TTWO,Take-Two Interactive,-5.4401092529296875,1
TPR,Tapestry,36.09501647949219,4
TGT,Target Corporation,9.065170288085938,2
TDY,Teledyne Technologies,-11.740018844604492,0
TFX,Teleflex,53.210304260253906,1
TER,Teradyne,-6.445087432861328,0
TSLA,Tesla,12.000213623046875,4
TXN,Texas Instruments,-23.85040283203125,1
TXT,Textron,-38.12998580932617,2
COO,The Cooper Companies,308.47131729125977,2
HIG,The Hartford,37.04014587402344,2
HSY,The Hershey Company,3.0449600219726562,0
MOS,The Mosaic Company,-4.1998443603515625,2
TRV,The Travelers Companies,-17.427085876464844,4
DIS,The Walt Disney Company,47.42997741699219,1
TMO,Thermo Fisher Scientific,48.0885009765625,4
TSCO,Tractor Supply Company,-121.52012634277344,0
TT,Trane Technologies,22.379562377929688,4
TDG,TransDigm Group,-1.8699321746826172,2
TRMB,Trimble,3.1200199127197266,0
TFC,Truist Financial,1.3749427795410156,2
TWTR,Twitter,112.48968505859375,2
TYL,Tyler Technologies,-25.205036163330078,4
TSN,Tyson Foods,3.6249752044677734,4
USB,U.S. Bancorp,-77.48970031738281,0
UDR,UDR,-2.2550506591796875,0
ULTA,Ulta Beauty,-6.614973068237305,0
UAA,Under Armour (Class A),-6.089698314666748,0
UA,Under Armour (Class C),20.630203247070312,4
UNP,Union Pacific,-86.76095390319824,0
UAL,United Airlines,121.90513610839844,1
UPS,United Parcel Service,38.02983856201172,1
URI,United Rentals,75.11995697021484,0
UNH,UnitedHealth Group,-37.775123596191406,4
UHS,Universal Health Services,-44.420013427734375,0
VFC,VF Corporation,-23.89500617980957,4
VLO,Valero Energy,27.025039672851562,1
VTR,Ventas,57.59999084472656,1
VRSN,Verisign,0.20992279052734375,3
VRSK,Verisk Analytics,-82.8299560546875,1
VZ,Verizon Communications,-22.669967651367188,4
VRTX,Vertex Pharmaceuticals,-0.6449756622314453,4
VIAC,ViacomCBS,-8.159997940063477,4
VTRS,Viatris,-35.43505859375,1
V,Visa,-29.4400577545166,0
VNO,Vornado Realty Trust,-12.130111694335938,0
VMC,Vulcan Materials,-8.4405517578125,4
WRB,W. R. Berkley Corporation,-19.369892120361328,0
GWW,W. W. Grainger,12.45001220703125,1
WEC,WEC Energy Group,-10.854236602783203,4
WAB,Wabtec,-48.750213623046875,0
WBA,Walgreens Boots Alliance,31.430030822753906,3
WMT,Walmart,55.33998107910156,1
WM,Waste Management,9.589996337890625,3
WAT,Waters Corporation,-6.774974822998047,0
WFC,Wells Fargo,-27.38998031616211,4
WELL,Welltower,111.150146484375,2
WST,West Pharmaceutical Services,-36.50998115539551,0
WRK,WestRock,-9.850006103515625,4
WDC,Western Digital,3.6099777221679688,0
WU,Western Union,-0.39996814727783203,4
WY,Weyerhaeuser,-54.12993621826172,4
WHR,Whirlpool Corporation,-2.389995574951172,0
WMB,Williams Companies,76.74996948242188,1
WLTW,Willis Towers Watson,-71.92987442016602,0
WYNN,Wynn Resorts,6.360034942626953,3
XEL,Xcel Energy,21.72528076171875,2
XLNX,Xilinx,22.410011291503906,4
XYL,Xylem,-1.1901016235351562,4
YUM,Yum! Brands,60.23028564453125,2
ZBRA,Zebra Technologies,-50.570045471191406,4
ZBH,Zimmer Biomet,5.840021133422852,0
ZION,Zions Bancorp,35.84514617919922,1
ZTS,Zoetis,0.0,1
EBAY,eBay,0.0,1
